Family,Scientfic Names,Nutritional Content,Toxicity,Natives to Vietnam,Conservational status,Refrences
Asteraceae,Bidens pilosa,Rich in nutrients,Not reported,No,Highly invasive,"@huynh_study_2025, @ son_investigation_2022, @lin_complete_2020"
Asteraceae,Gynura procumbens ,"- Contains flavonoids, phenolics, antioxidants",Not reported,Yes,Not reported,"@amin_pdf_2024, @ puangpronpitag_evaluation_2010"
Asteraceae,Gynura sarmentosa,contains antioxidants used in traditional medicin forwounds healing and inflammation,No reported,yes,Not reported,@ tan_antioxidant_2020
Asteraceae,Lactuca indica,"Rich in flavonoids, quinic acid derivatives",No reported,Yes,Not reported,"@ editor_systematic_2024, @ hao_comparative_2021, @ ma_toxicity_2018 "
Rutaceae,Euodia bodinieri,"Contain alkaloids, like evodiamine, used in ",Yes (mild),Yes,Not reported,"@ hao_euodiae_2025, @ xiao_traditional_2023"
Sapindaceae,Nephelium lappaceum,"- High in antioxidants, dietary fibers, vitamins (C, B-complex)", Yes (mild),Native to Indonesia,Not reported,"@ afzaal_nutritional_2023, @ muhtadi_acute_2023"
Musaceae,Musa acuminata,"- Rich in polyphenols, flavonoids, vitamin C",No reported,Yes ,Not reported,"@ giri_dietary_2016, @ mondal_cancer_2021, "
Dioscoreaceae,Dioscorea hamiltonii,High in Carbonhydrate,Not reported,Yes,Not reported,"@ obidiegwu_dioscorea_2020, @ salehi_dioscorea_2019"
Cucurbitaceae,Hodgsonia macrocarpa,No reported,Not reported,Yes ,Not reported,"@ haldhar_horticulture_2018, @ sharma_hodgsonia_1991"
Euphorbiaceae,Baccaurea ramiflora,"Rich in vitamin C, mineral and antioxidant ",No data ,yes ,Not reported,@ gogoi_baccaurea_2017
Vitaceae,Cissus hastata,Contian bioactive compunds such as flavonoids ,No reported ,Yes ,Not Invasive,"@ gerrath_vitaceae_2015, @ lu_recent_2018"
Lamiaceae,Clerodendrum cyrtophyllum,Contain bioactive compounds,Not reported ,Yes  ,Not reported,@ nguyen_developmental_2021
Myrsinaceae,Maesa perlarius ,Anitioxidant properties,No reported,Yes ,Not reported," @ caris_floral_2000, @ utteridge_four_2012"
Davalliaceae,Nephrolepis cordifolia,"Rich in alkaloids, flavonoids, and essential minerals like potassium and calcium",No reported,yes,,@ oyeyemi_phytochemical_2019
Zingiberaceae,Zingiber officinale,"Contain gingerol, an antioxidant and anti-inflammatory compound",No toxicity reported,Yes ,yes,@ chakraborty_vitro_2023
Piperaceae,Piper lolot,Contains bioactive compounds with medical properties,No toxicity reported,yes,Not evaluated,@ sen_review_2022
Passifloraceae,Passiflora foetida,Used in traditional medicines,No significant toxicity reported,No,Invasive in some region,"@ song_nutritional_2018, @ undirwade_passiflora_2025"
Plantaginaceae,Plantago major,"Contain s vitamins , minerals",No significant toxicity reported,Yes,Not evaluated,"@ jankovic_comparative_2012, @ serrano_ecology_2021"
Rutaceae,Zanthoxylum rhetsa,,,,,
Costaceae ,Costus speciosus,Rhizomes rich in carbohydrate,No,Yes,Not evaluated ,@ pereira_da_silva_bioactive_2003
Lamiaceae,Clerodendrum chinense,"Used in traditional medicine, low nutritional value",No ,Yes,Harmful/invasive,"@ odimegwu_diuretic_2023, @ rojas-sandoval_clerodendrum_2012"
Rubiaceae,Paederia lanuginosa,Rich in vitamin c,No ,Yes ,Not evaluated,"@ phu_chemical_2025, @ upadhyaya_screening_2013"
Rutaceae,Clausena indica,"containis essential phytochemicals, minerals, and trace minerals,",No ,yes,Not evaluated,@ abeysinghe_nutritive_2021 
Auriculariaceae,Auricularia heimuer,High protein,No ,No ,Not evaluated,@ sun_research_2022
Pluteaceae,Volvariella volvacea,High protein,No ,Yes ,Not evaluated,"@ ali_volvariella_2024, @ le_new_2018"
Actinidiaceae,Saurauia tristyla,High vitamin c ,No ,Yes ,Not evaluated,"@cuong_taxonomic_2007, @ ye_medicinal_2021"
Asteraceae,Artemisia vulgaris.,"rich in essential oils, flavonoid",No ,Yes ,invasive,@ ekiert_significance_2020
Rosaceae,Rubus cochinchinensis,"High vitamin, minerals",No ,yes,Not evaluated,"@ buczynski_review_2024, @ clark_spontaneous_2012"
Araliaceae,Schefflera heptaphylla,Low nutritional value,Yes(mild),yes,Not evaluated,@ atsafack_toxicological_2015
Euphorbiaceae,Bischofia javanica,Rich nutrient contain ,Yes(mild),Yes,invasive,"@ indra_chemical_2013, @ susanto_immunomodulatory_2022, @ yamashita_seed_2003"
Bignoniaceae,Oroxylum indicum,rich in bioactive compounds,No ,Yes,Endangered,"@ deka_oroxylum_2013, @ kumar_pdf_2025"
Lamiaceae,Clerodendrum quadriloculare,"contains various phytochemicals such as flavonoids, steroids",No ,No ,Invansive,"@ jonatas_pdf_2024, @ okaiyeto_traditional_2021"
Moraceae,Ficus callosa,"rich in dietary fiber, proteins, carbohydrates, and essential minerals",No,Yes ,Endangered ,"@ alaklabi_ficus_2021, @ ogunlaja_antioxidant_2022"
Erythropalaceae,Erythropalum scandens,"contains various bioactive compounds such as flavonoids, phenolic",No,Yes,No,@ sutha_s_gc-ms_2011
Piperaceae,Peperomia pellucida,"contains various phytochemicals such as flavonoids, steroids",No ,Yes ,endanger,"@ ahmad_peperomia_2023, @ ho_peperomia_2022, @ vergara-rodriguez_diversity_2017"
Athyriaceae,Diplazium esculentum,Rich in vitamines and minerals,No ,yes,No ,"@ cicuzza_diplazium_2021, @ sureshkumar_local_2023"
Apiaceae,Centella asiatica,Leaves are rich in nutrients and bioactive compounds.,No reported,Yes ,Invasive,"@ hossain_potential_2018, @ sahu_medicinal_2024, @ warasy_karyomorphology_2015"
Opiliaceae, Melientha suavis,Rich in nutrients ,Not reported,Yes,Not reported,@ pignone_parasitic_2016
Asteraceae,Crassocephalum crepidioides,Contains alkaloids and flavanoids,Not reported,Yes,Highly invasive ,"@ gurung_crassocephalum_2022, @ nguemfo_acute_2021, @ sunarto_ices_2022"
Zingiberaceae,Alpinia xanthioides,Contains essential oils with antibacterial properties,Not reported,Yes ,Endangered ,"@ banaticla-hilario_conservation_2023, @ boonma_diversity_2023, @ ye_medicinal_2021-1"
Asparagaceae,Curculigo orchioides,Rich in bioactive compounds ,Not reported,Yes ,Endangered ,"@ kushalan_bioactive_2023, @ sharanya_thieme_2023"
Moraceae,Ficus racemosa,"Rich in calcuim, vitamins and antioxidant",Not reported,Yes,Not reported,"@ akbar_ficus_2020, @ amboupe_ficus_2021"
Solanaceae,Physalis angulata,"Rich in vitamins, antioxidant and bioactive compound",Not reported,Yes ,Highly invasive,"@ balah_growth_2022, @ samuels_biodiversity_2015"
Polygonaceae,Polygonum perfoliatum,Contain flavonoids ,Not reported,Yes ,Highly invasive,@ gillani_phyto-ecological_2024
Begoniaceae,Begonia tonkinensis,Not reported,Not reported,Yes,Not reporetd,"@ siregar_conservation_2017, @ tian_diversity_2018"
Begoniaceae,Begonia aptera,Not reported,Not reported,No,Endangered ,"@ siregar_conservation_2017, @ tian_diversity_2018"
Burseraceae,Canarium bengalense,Not reported,Not reported ,Yes,Not reported,@daly_burseraceae_2011
Burseraceae, Canarium nigrum,Contain bioactive compouds,Not reported,Yes,Not invasive,"@daly_burseraceae_2011, @decarlo_essential_2019, ye_medicinal_2022"
Burseraceae,Canarium tramvangum,Contain bioactive compouds,Not reported,Yes ,Not invasive,"@daly_burseraceae_2011, @decarlo_essential_2019, ye_medicinal_2022"
Moraceae,Ficus auriculata,Fruits rich in phenolic compounds and antioxidant,Not reported,Yes ,Not invasive ," @alaklabi_ficus_2021, @shi_genus_2018"
Moraceae,Ficus heterophyllus,Contain bioactive compounds,Not reported,Yes ,Endangered,"@ogunlaja_antioxidant_2022-1, @shi_genus_2018"
Asteraceae,Wedelia trilobata,Contain bioactive compounds,Not reported ,No,Highly invasive,"@hu_invasive_2023, @huang_effects_2022"
Poaceae,Coix lacryma-jobi," Good source of Carbohydrate, minerals and bioactive compounds",Not reported,Yes ,Not reported,"(Seyie et al., 2019; SONI et al., 2023)"
Poaceae,Arundinaria baviensis,Not reported,Not reported,No,Not invasive,"@cook_potpourri_2015, @majeed_detailed_2022, @ruiz-sanchez_diversity_2020"
Poaceae,Ampelocalamus patellaris,not reported ,Not reported,yes,Not invasive,"@cook_potpourri_2015, @majeed_detailed_2022, @ruiz-sanchez_diversity_2020"
Poaceae,Bambusa blumeana,Rich in nutrients,Not reported,Yes ,Invasive in some areas,"@benjamin_comprehensive_2023, @liana_bamboo_2017"
Poaceae,Dendrocalamus velutinus,Not reported,Not reported,No ,Not invasive," @cook_potpourri_2015, @nguyen_dendrocalamus_2012"
Cucurbitaceae,Momordica cochinchinensis,Rich in caroteniods ,Not reported,Yes,Not invasive,@wilmalasiri_morphological_2015
Verbenaceae,Clerodendrum kaempferi,contains secondary metabolites such as flavonoids and phenolic compounds,Not reported,No ,Not invasive," @mamuaja_flavonoids_2024, @rojas-sandoval_clerodendrum_2012"
Verbenaceae,Clerodendrum philippinum,contains secondary metabolites such as flavonoids and phenolic compounds,Not reported,No ,Invasive,"@mamuaja_flavonoids_2024, @rojas-sandoval_clerodendrum_2012"